country,state,city,station,last_update,pollutant_id,latitude,longitude,pollutant_min,pollutant_max,pollutant_avg,pollution_avg
India,Puducherry,Puducherry,"Jawahar Nagar, Puducherry - PPCC",01-06-2026 17:00:00,PM10,11.9309,79.8027,20.0,52.0,34.0,33.070792478173274
India,Karnataka,Koppal,"Diwator Nagar, Koppal - KSPCB",01-06-2026 17:00:00,NH3,15.34763,76.181767,1.0,8.0,6.0,3.6
India,Uttar_Pradesh,Ghaziabad,"Indirapuram, Ghaziabad - UPPCB",01-06-2026 17:00:00,OZONE,28.646233,77.358075,8.0,44.0,28.0,31.7
India,Chhattisgarh,Raipur,"Siltara Phase-II, Raipur - CECB",01-06-2026 17:00:00,OZONE,21.371751,81.664929,4.0,32.0,23.0,23.29
India,Andhra_Pradesh,Machilipatnam,"Srinivas Nagar Colony, Machilipatnam - APPCB",01-06-2026 17:00:00,OZONE,16.186555,81.13219,24.0,24.0,24.0,24.53
India,Maharashtra,Aurangabad,"Rachnakar Colony, Aurangabad - MPCB",01-06-2026 17:00:00,OZONE,19.863756,75.321188,12.0,93.0,78.0,62.03
India,Gujarat,Surat,"Katargam, Surat - Nexteng Enviro",01-06-2026 17:00:00,OZONE,21.217779,72.834787,12.0,13.0,12.0,12.09
India,TamilNadu,Chennai,"Manali Village, Chennai - TNPCB",01-06-2026 17:00:00,NH3,13.1662,80.2584,2.0,3.0,3.0,2.2
India,Rajasthan,Dholpur,"Raja Ganj, Dholpur - RSPCB",01-06-2026 17:00:00,SO2,26.699557,77.898881,6.0,15.0,11.0,9.11
India,Maharashtra,Mumbai,"Mindspace-Malad West, Mumbai - MPCB",01-06-2026 17:00:00,PM2.5,19.1878657,72.8304069,19.986568166554736,56.69778374748153,35.03962390866353,35.039623908663515
India,Maharashtra,Navi Mumbai,"Sanpada, Navi Mumbai - MPCB",01-06-2026 17:00:00,CO,19.0575752,73.0151367,4.0,22.0,6.0,10.23
India,Haryana,Bahadurgarh,"Arya Nagar, Bahadurgarh - HSPCB",01-06-2026 17:00:00,PM2.5,28.6701,76.9254,94.0,173.0,140.0,140.44
India,Gujarat,Surat,"Science Center, Surat - SMC",01-06-2026 17:00:00,CO,21.170046,72.795405,44.0,54.0,51.0,47.22
India,West_Bengal,Howrah,"Dasnagar, Howrah - WBPCB",01-06-2026 17:00:00,PM2.5,22.6025571,88.3105664,1.0,93.0,38.0,26.26
India,Maharashtra,Nagpur,"Opp GPO Civil Lines, Nagpur - MPCB",01-06-2026 17:00:00,CO,21.152875,79.0517531,18.0,46.0,27.0,27.26
India,Maharashtra,Beed,"Bir, Beed - MPCB",01-06-2026 17:00:00,PM2.5,18.988474,75.753873,8.0,23.0,16.0,13.95
India,Madhya Pradesh,Indore,"Regional Park, Indore - IMC",01-06-2026 17:00:00,OZONE,22.678,75.8559,5.0,22.0,10.0,12.31
India,Karnataka,Bengaluru,"Silk Board, Bengaluru - KSPCB",01-06-2026 17:00:00,NH3,12.917348,77.622813,4.0,5.0,4.0,4.04
India,Haryana,Faridabad,"Sector 11, Faridabad - HSPCB",01-06-2026 17:00:00,PM10,28.376058,77.315741,19.986568166554736,56.69778374748153,35.03962390866353,35.039623908663515
India,Assam,Guwahati,"Pan Bazaar, Guwahati - PCBA",01-06-2026 17:00:00,SO2,26.1875,91.744194,24.0,29.0,26.0,26.6
India,Madhya Pradesh,Indore,"Regional Park, Indore - IMC",01-06-2026 17:00:00,SO2,22.678,75.8559,20.0,113.0,34.0,46.61
India,Gujarat,Rajkot,"Mavdi, Rajkot - Nexteng Enviro ",01-06-2026 17:00:00,CO,22.248853,70.776774,73.0,75.0,74.0,72.76
India,West_Bengal,Kolkata,"Victoria, Kolkata - WBPCB",01-06-2026 17:00:00,SO2,22.5448082,88.3403691,6.0,11.0,8.0,7.9
India,Rajasthan,Jaipur,"Shastri Nagar, Jaipur - RSPCB",01-06-2026 17:00:00,SO2,26.9502929,75.730943,14.0,40.0,24.0,19.69
India,Rajasthan,Jaipur,"RIICO Sitapura, Jaipur - RSPCB",01-06-2026 17:00:00,CO,26.786682,75.827928,12.0,33.0,19.0,18.99
India,Karnataka,Bengaluru,"Peenya, Bengaluru - CPCB",01-06-2026 17:00:00,PM2.5,13.0270199,77.494094,12.0,64.0,26.0,35.89
India,West_Bengal,Barrackpore,"SVSPA Campus, Barrackpore - WBPCB",01-06-2026 17:00:00,NO2,22.7605581,88.3617589,13.0,60.0,25.0,34.18039623908663
India,West_Bengal,Haldia,"Priyambada Housing Estate, Haldia - WBPCB",01-06-2026 17:00:00,OZONE,22.06047,88.109737,23.0,66.0,57.0,47.93039623908664
India,Delhi,Delhi,"Rohini, Delhi - DPCC",01-06-2026 17:00:00,SO2,28.732528,77.11992,6.0,17.0,10.0,10.93
India,Maharashtra,Satara,"Koyana Nagar, Satara - MPCB",01-06-2026 17:00:00,OZONE,17.696651,74.003387,12.0,66.0,51.0,40.58
India,Uttar_Pradesh,Ghaziabad,"Sanjay Nagar, Ghaziabad - UPPCB",01-06-2026 17:00:00,PM10,28.685382,77.453839,42.0,345.0,77.0,101.02
India,Bihar,Patna,"IGSC Planetarium Complex, Patna - BSPCB",01-06-2026 17:00:00,PM2.5,25.610369,85.132568,32.0,123.0,76.0,61.15
India,Andhra_Pradesh,Vijayawada,"Rajiv Gandhi Park, Vijayawada - APPCB",01-06-2026 17:00:00,NO2,16.509717,80.612222,15.0,39.0,27.0,24.76
India,Uttar_Pradesh,Kanpur,"Nehru Nagar, Kanpur - UPPCB",01-06-2026 17:00:00,CO,26.4703136,80.3229863,52.0,56.0,53.0,54.25
India,Gujarat,Ahmedabad,"Maninagar, Ahmedabad - GPCB",01-06-2026 17:00:00,PM10,23.002657,72.591912,57.0,112.0,90.0,85.62
India,Uttar_Pradesh,Gorakhpur,"Madan Mohan Malaviya University of Technology, Gorakhpur - UPPCB",01-06-2026 17:00:00,PM10,26.730136,83.433859,4.0,126.0,65.0,53.01
India,West_Bengal,Howrah,"Padmapukur, Howrah - WBPCB",01-06-2026 17:00:00,NH3,22.5687319,88.2797276,8.0,26.0,10.0,15.57
India,Bihar,Gaya,"Kareemganj, Gaya - BSPCB",01-06-2026 17:00:00,PM2.5,24.792403,84.992416,13.0,153.0,68.0,67.79
India,Uttarakhand,Rishikesh,"Shivaji Nagar, Rishikesh - UKPCB",01-06-2026 17:00:00,PM2.5,30.075911,78.2859547,2.0,2.0,2.0,2.13
India,Uttar_Pradesh,Meerut,"Pallavpuram Phase 2, Meerut - UPPCB",01-06-2026 17:00:00,CO,29.06351,77.709723,4.0,68.0,37.0,28.7
India,Rajasthan,Bundi,"New Colony, Bundi - RSPCB",01-06-2026 17:00:00,PM10,25.435774,75.644272,19.986568166554736,56.69778374748153,35.03962390866353,35.039623908663515
India,Bihar,Bhagalpur,"DM Office_Kachari Chowk, Bhagalpur - BSPCB",01-06-2026 17:00:00,OZONE,25.251013,86.989001,17.0,22.0,20.0,20.15
India,Maharashtra,Pimpri-Chinchwad,"Park Street Wakad, Pimpri Chinchwad - MPCB",01-06-2026 17:00:00,NH3,18.59051,73.77946,3.0,4.0,3.0,3.21
India,Arunachal_Pradesh,Naharlagun,"Naharlagun, Naharlagun - APSPCB",01-06-2026 17:00:00,CO,27.103358,93.679645,7.0,14.0,10.0,10.82
India,Delhi,Delhi,"DTU, Delhi - CPCB",01-06-2026 17:00:00,NO2,28.7500499,77.1112615,26.0,137.0,47.0,61.38
India,Maharashtra,Latur,"Sawe Wadi, Latur - MPCB",01-06-2026 17:00:00,PM2.5,18.39963,76.57452,32.0,183.0,67.0,81.0
India,Karnataka,Chikkamagaluru,"Kalyana Nagara, Chikkamagaluru - KSPCB",01-06-2026 17:00:00,PM2.5,13.328028,75.797056,19.986568166554736,56.69778374748153,35.03962390866353,35.039623908663515
India,Assam,Guwahati,"LGBI Airport, Guwahati - PCBA",01-06-2026 17:00:00,CO,26.10887,91.589544,18.0,53.0,28.0,33.14079247817327
India,Maharashtra,Thane,"Upvan Fort, Thane - MPCB",01-06-2026 17:00:00,OZONE,19.222279,72.957979,34.0,59.0,48.0,47.02
India,Gujarat,Ahmedabad,"Chandkheda, Ahmedabad - IITM",01-06-2026 17:00:00,SO2,23.107969,72.574648,2.0,8.0,3.0,4.35
India,Rajasthan,Jaipur,"Mansarovar Sector-12, Jaipur - RSPCB",01-06-2026 17:00:00,NH3,26.843698,75.766894,10.0,14.0,12.0,11.89
